Species;Macroclimate;BIO1;BIO2;BIO3;BIO4;BIO5;BIO6;BIO7;BIO8;BIO9;BIO10;BIO11;BIO12;BIO13;BIO14;BIO15;BIO16;BIO17;BIO18;BIO19;"""bio20"""
acerifolia;Warm Temperate;149.2686575;130.4774638;36.08572125;7936.611389;325.2269275;-30.864455;356.091385;147.0578725;43.8321925;248.7885775;43.8321925;1311.977946;155.1922663;70.9411;19.9492625;406.8263788;265.0611875;299.4535275;265.0611875;141.7651913
acuta;Warm Temperate;137.376013;84.17822798;27.46530394;7588.018201;289.9048262;-11.78705163;301.6918768;215.0660518;47.67255288;234.9700068;40.90748212;1848.061883;270.5191125;65.28308327;44.07746423;705.3811844;218.6151236;656.0048589;224.7508908;486.7660608
acutifolia;Winter-dry temperate to Tropical;187.7652551;140.6917424;66.05505714;1868.642865;290.7112726;79.49716771;211.2141045;199.5091486;172.7706865;208.9526224;161.369615;1147.519186;245.3223446;13.26534171;91.23095136;648.2167603;48.21556793;339.7174759;66.18741929;600.0011924
acutissima;Warm Temperate;141.8562646;92.78402895;31.52005013;7313.430731;286.0755355;-13.65745461;299.7329903;220.2886029;53.60071013;232.7586328;45.69780737;1528.64336;260.4328436;42.80281421;61.00000974;682.1097845;145.9722397;635.8678875;158.3358239;536.1375448
afares;Mediterranean;154.411424;112.227198;37.924809;6259.063886;321.392385;29.702273;291.690116;91.56861;234.597314;238.054778;78.078531;750.57607;118.700924;5.053568;57.499923;328.487235;35.166106;53.712839;322.290331;293.321129
affinis;Winter-dry temperate to Tropical;174.0569367;135.7832127;63.60161237;2245.1002;278.0321741;66.32126958;211.7109041;187.9948675;151.8649197;199.3715131;142.7717361;1176.035016;242.5539438;22.39704729;77.30346127;589.4673891;77.6062428;323.1956488;102.641295;511.8611463
agrifolia;Mediterranean;144.6886027;130.165018;52.81163225;4185.052257;281.2983316;35.01096583;246.2873655;96.65840523;193.4863223;199.9215033;94.39516674;645.8165371;131.9896445;1.394238349;87.30174803;347.9824833;9.218571606;16.95821867;342.1065266;338.7639117
alba;Cold Temperate;121.66367;117.1513307;32.31241068;8696.002357;300.7837292;-62.63884315;363.4225719;195.5154153;27.70180589;229.329199;4.770378904;1054.924905;122.8514497;52.32861151;25.38715027;337.977443;183.5980734;308.7651736;200.9476696;154.3793696
aliena;Warm Temperate;141.3875113;95.26838697;31.17915487;7599.040512;289.9800759;-18.61909039;308.5991661;221.400898;48.05884316;235.6251118;40.28739013;1260.32043;229.1860888;31.34843934;67.6625525;597.0588091;108.6308796;560.1959597;114.2610372;488.4279295
argyrotricha;Warm Temperate;162.827926;81.670058;30.052722;6657.959692;293.921896;23.869878;270.052018;218.718298;79.062194;242.509874;71.258084;1305.137874;226.860706;28.148018;64.754352;629.75834;100.019212;551.210084;112.535226;529.739128
arizonica;Arid;147.8410452;162.6819099;49.4513335;6046.318148;317.2343956;-9.710020437;326.9444156;216.6198162;168.7186639;225.5926299;72.37608224;584.1683949;134.3742599;7.805140219;76.79323617;319.2893043;38.44858257;279.9328045;118.7607138;280.8407217
arkansana ;Warm Temperate;177.1491251;128.603899;39.93296275;7032.404616;330.8110073;11.67788235;319.1331247;151.0411782;209.7742771;264.2446539;83.53825882;1405.169372;157.3783873;79.1623998;18.94438765;428.1808698;274.4372455;351.4615188;374.848052;153.7436243
